1667483100000,20187.40000000,20199.00000000,20146.42000000,20174.74000000,3017.83485000,1667483399999,60867990.67154670,55742,1487.28815000,29998728.25950830,0
1667483400000,20176.04000000,20176.20000000,20139.77000000,20146.92000000,1475.61555000,1667483699999,29740505.40155620,33827,706.29935000,14235219.94418820,0
1667483700000,20146.92000000,20150.75000000,20093.24000000,20108.92000000,2024.44041000,1667483999999,40727588.58142880,40446,940.33039000,18918368.04164490,0
1667484000000,20107.87000000,20162.00000000,20087.23000000,20153.45000000,3985.52707000,1667484299999,80197710.87762020,75365,2070.26317000,41659964.87535670,0
1667484300000,20153.45000000,20159.97000000,20118.53000000,20135.92000000,2163.00730000,1667484599999,43572486.58182930,43846,1068.21907000,21519265.17022460,0
1667484600000,20135.91000000,20230.00000000,20128.80000000,20223.32000000,2624.88607000,1667484899999,52944014.53966500,50578,1411.39618000,28470364.13016310,0
1667484900000,20223.25000000,20269.00000000,20223.25000000,20253.46000000,4002.65791000,1667485199999,81039875.59117880,75960,2094.67176000,42411418.24457100,0
1667485200000,20252.54000000,20284.50000000,20230.76000000,20263.06000000,2403.96178000,1667485499999,48692391.57870680,52660,1215.86150000,24628094.10280930,0
1667485500000,20263.06000000,20307.85000000,20259.39000000,20291.40000000,2999.58103000,1667485799999,60854734.30439580,56765,1560.98376000,31670060.54812320,0
1667485800000,20291.45000000,20297.40000000,20231.78000000,20253.09000000,2216.73952000,1667486099999,44912316.29226380,44146,1061.52961000,21508021.61217410,0
1667486100000,20253.09000000,20295.65000000,20250.92000000,20285.43000000,1875.29486000,1667486399999,38020280.41816970,39744,968.78043000,19641527.06592020,0
1667486400000,20285.43000000,20328.63000000,20277.53000000,20305.19000000,2695.07277000,1667486699999,54733642.63866670,51326,1414.80026000,28733254.87961320,0
1667486700000,20306.21000000,20336.46000000,20292.81000000,20327.73000000,2348.87963000,1667486999999,47726703.42179080,46504,1217.14176000,24731952.07534700,0
1667487000000,20328.59000000,20339.86000000,20299.41000000,20300.05000000,1734.55715000,1667487299999,35240033.77410200,36344,854.96203000,17370250.83101450,0
1667487300000,20301.00000000,20322.91000000,20296.06000000,20318.59000000,1662.32628000,1667487599999,33761725.06725250,34956,866.75620000,17604265.19401840,0
1667487600000,20318.59000000,20330.00000000,20293.56000000,20298.55000000,1982.91425000,1667487899999,40278040.04141640,39175,997.04025000,20253221.44294710,0
1667487900000,20297.41000000,20306.37000000,20262.74000000,20279.31000000,2322.79978000,1667488199999,47107523.11856410,40765,1089.07006000,22087832.21694050,0
1667488200000,20278.74000000,20302.89000000,20257.74000000,20260.59000000,1735.25328000,1667488499999,35200445.90709550,35994,825.88238000,16753379.34178450,0
1667488500000,20259.61000000,20277.07000000,20238.15000000,20254.63000000,1705.50566000,1667488799999,34545838.25001860,33713,808.90359000,16385053.24735470,0
1667488800000,20254.63000000,20272.91000000,20244.65000000,20251.59000000,1461.93912000,1667489099999,29619044.30820810,30115,719.00502000,14567636.79608960,0
1667489100000,20250.43000000,20273.79000000,20237.39000000,20244.31000000,1647.15250000,1667489399999,33361277.30456890,31213,779.87963000,15796352.09016620,0
1667489400000,20244.31000000,20258.27000000,20208.56000000,20222.42000000,1952.37036000,1667489699999,39503521.80285720,36235,890.57354000,18020387.54307140,0
1667489700000,20222.42000000,20267.54000000,20222.18000000,20263.70000000,1499.83434000,1667489999999,30368704.10424270,30832,797.13890000,16140798.46182540,0
1667490000000,20264.57000000,20270.41000000,20246.23000000,20253.01000000,1215.72591000,1667490299999,24630431.01995230,26685,604.84385000,12254458.07874320,0
1667490300000,20253.01000000,20285.89000000,20246.27000000,20253.73000000,1453.06556000,1667490599999,29450200.05991330,29967,736.57337000,14928812.24055740,0
1667490600000,20253.73000000,20258.82000000,20237.99000000,20251.67000000,1280.80904000,1667490899999,25935974.65365230,25732,622.34916000,12602416.64699220,0
1667490900000,20251.67000000,20254.79000000,20241.45000000,20248.62000000,1151.08046000,1667491199999,23307747.72950630,24042,589.40913000,11935095.23029240,0
1667491200000,20249.18000000,20272.53000000,20241.62000000,20268.26000000,1427.05173000,1667491499999,28908073.00320020,29393,753.94884000,15273271.22160210,0
1667491500000,20268.25000000,20288.91000000,20251.55000000,20259.68000000,1693.55263000,1667491799999,34327016.07766640,32218,852.72872000,17284622.33904410,0
1667491800000,20259.68000000,20285.00000000,20255.31000000,20267.24000000,1306.21709000,1667492099999,26479553.02984080,26265,661.14570000,13402950.68367390,0
1667492100000,20267.24000000,20287.60000000,20265.08000000,20279.58000000,1312.64764000,1667492399999,26617432.89077870,25991,690.15170000,13994930.39690270,0
1667492400000,20279.08000000,20280.46000000,20243.96000000,20245.98000000,1160.60034000,1667492699999,23512340.05276550,25299,521.54401000,10566213.98531150,0
1667492700000,20244.84000000,20268.90000000,20242.57000000,20249.99000000,1267.12826000,1667492999999,25664171.99694650,24296,638.82126000,12939060.48553750,0
1667493000000,20248.96000000,20275.00000000,20245.59000000,20265.69000000,1103.39471000,1667493299999,22354298.18705070,23489,589.90801000,11951714.56610640,0
1667493300000,20265.69000000,20267.00000000,20242.03000000,20252.33000000,1102.06006000,1667493599999,22322247.50555040,22869,540.50711000,10948232.25145420,0
1667493600000,20251.59000000,20301.04000000,20251.58000000,20290.42000000,1252.02764000,1667493899999,25382872.60665220,26436,725.82593000,14715672.77897520,0
1667493900000,20290.42000000,20303.65000000,20283.37000000,20291.94000000,1178.66211000,1667494199999,23916635.89221930,24423,596.15220000,12097002.18169110,0
