1667119500000,20778.56000000,20790.90000000,20763.03000000,20784.05000000,1973.03051000,1667120399999,40992102.26855780,54250,1033.22813000,21466834.99860790,0
1667120400000,20783.18000000,20819.18000000,20757.30000000,20813.42000000,2095.02742000,1667121299999,43553251.63674610,59776,1079.90094000,22451483.29148400,0
1667121300000,20813.06000000,20823.04000000,20780.06000000,20782.41000000,1622.94629000,1667122199999,33765104.89417540,50007,807.97556000,16810732.37787270,0
1667122200000,20782.41000000,20787.67000000,20725.00000000,20731.23000000,3119.95188000,1667123099999,64757946.82430590,70086,1452.09721000,30141992.09564650,0
1667123100000,20731.23000000,20744.00000000,20635.00000000,20694.58000000,5204.48747000,1667123999999,107651551.77409170,113757,2501.06597000,51733506.94230020,0
1667124000000,20693.32000000,20719.00000000,20663.15000000,20688.99000000,2588.83170000,1667124899999,53569942.76573700,67156,1297.89462000,26858382.70236270,0
1667124900000,20688.11000000,20693.04000000,20652.02000000,20690.40000000,1815.46685000,1667125799999,37538461.21838080,51466,807.30310000,16693223.63416440,0
1667125800000,20689.31000000,20709.99000000,20632.73000000,20687.49000000,2816.41156000,1667126699999,58233283.29465630,69475,1368.42277000,28295039.15142420,0
1667126700000,20687.31000000,20705.86000000,20676.97000000,20685.62000000,1481.88923000,1667127599999,30665782.05961560,45050,752.09927000,15564126.67228480,0
1667127600000,20686.76000000,20726.27000000,20682.25000000,20709.66000000,1814.18586000,1667128499999,37572209.10525880,48882,977.26820000,20239490.07186580,0
1667128500000,20708.71000000,20714.49000000,20683.88000000,20687.06000000,1237.55985000,1667129399999,25612078.22279660,41816,564.82582000,11689695.82807240,0
1667129400000,20687.06000000,20763.45000000,20661.71000000,20751.77000000,3261.20649000,1667130299999,67548570.06296320,71248,1694.51744000,35100258.10022520,0
1667130300000,20751.72000000,20788.83000000,20731.44000000,20769.84000000,3162.12229000,1667131199999,65670405.58717150,70484,1622.12557000,33688598.76889140,0
1667131200000,20770.81000000,20781.50000000,20726.74000000,20731.02000000,2112.25092000,1667132099999,43844659.57861110,51140,1050.82690000,21813738.54626810,0
1667132100000,20731.04000000,20743.99000000,20685.01000000,20712.12000000,2636.82471000,1667132999999,54597316.80152680,64160,1252.24141000,25928803.24855540,0
1667133000000,20713.21000000,20749.15000000,20673.07000000,20724.88000000,2445.21877000,1667133899999,50669723.79374420,60149,1210.80680000,25091370.95565960,0
1667133900000,20724.88000000,20740.57000000,20723.06000000,20726.05000000,1377.15166000,1667134799999,28552700.13840340,39301,719.62204000,14920624.39803960,0
1667134800000,20725.23000000,20734.36000000,20684.08000000,20726.48000000,1756.05692000,1667135699999,36370473.89871790,48687,893.11398000,18498398.03942010,0
1667135700000,20726.48000000,20729.47000000,20669.81000000,20678.41000000,1592.72325000,1667136599999,32973979.31626490,48207,734.85144000,15214215.80001440,0
1667136600000,20678.41000000,20721.15000000,20613.33000000,20659.19000000,3814.00719000,1667137499999,78832949.13918520,90964,1846.73847000,38172909.14398590,0
1667137500000,20659.19000000,20702.92000000,20589.18000000,20646.61000000,3030.17955000,1667138399999,62607375.11138330,72387,1445.38041000,29867937.50578830,0
1667138400000,20646.61000000,20677.13000000,20622.61000000,20645.13000000,1999.13111000,1667139299999,41292657.67044700,56437,1033.06845000,21339291.17018070,0
1667139300000,20645.13000000,20731.54000000,20644.03000000,20706.94000000,2627.95857000,1667140199999,54378037.20933160,62801,1425.55389000,29497515.70409840,0
1667140200000,20706.94000000,20742.03000000,20696.22000000,20719.21000000,2001.27703000,1667141099999,41461735.66342820,49921,1086.50768000,22510110.26049510,0
1667141100000,20719.21000000,20740.00000000,20711.80000000,20738.44000000,1893.94858000,1667141999999,39260356.49906550,47870,1017.79447000,21099135.92895280,0
1667142000000,20738.44000000,20745.00000000,20694.72000000,20698.73000000,1657.39381000,1667142899999,34343449.56464310,45207,785.30784000,16273061.89369520,0
1667142900000,20698.73000000,20722.00000000,20669.00000000,20701.12000000,1613.67847000,1667143799999,33403458.95748190,44264,837.26998000,17332636.02059310,0
1667143800000,20700.46000000,20714.07000000,20671.07000000,20678.79000000,1509.17314000,1667144699999,31228472.63343810,43902,766.82574000,15867660.27582850,0
1667144700000,20678.79000000,20686.00000000,20635.84000000,20676.70000000,2883.06455000,1667145599999,59575884.77285140,67583,1388.24410000,28689095.24738110,0
1667145600000,20676.72000000,20692.75000000,20613.79000000,20670.77000000,3049.65549000,1667146499999,63025022.71486160,65272,1408.66121000,29115990.19624540,0
1667146500000,20670.77000000,20700.91000000,20628.93000000,20657.16000000,2223.97217000,1667147399999,45964580.04809270,53436,1099.63322000,22728162.76323570,0
1667147400000,20658.16000000,20682.27000000,20626.41000000,20641.89000000,1987.50566000,1667148299999,41046094.25083740,47417,981.36421000,20268428.89254980,0
1667148300000,20642.91000000,20645.40000000,20550.00000000,20599.62000000,3767.68818000,1667149199999,77614741.09599060,72586,1723.67453000,35507707.47696050,0
1667149200000,20598.46000000,20626.27000000,20561.07000000,20608.13000000,2968.24228000,1667150099999,61145278.53553840,64597,1473.01663000,30345469.05770340,0
1667150100000,20607.31000000,20627.84000000,20576.12000000,20613.58000000,1900.40972000,1667150999999,39157098.98232370,47625,970.61766000,20000372.74558470,0
1667151000000,20613.58000000,20661.71000000,20608.89000000,20653.02000000,2160.20030000,1667151899999,44583703.37468200,48416,1216.20670000,25100865.97125450,0
1667151900000,20653.02000000,20669.00000000,20636.36000000,20657.96000000,1683.01583000,1667152799999,34762716.37258520,40119,840.07630000,17352256.95117660,0
